DISCADOR;364608;;;2;30/03/2023;20/03/2024
DISCADOR;364609;;;1;30/03/2023;;;
DISCADOR;364610;;;1;30/03/2023;;;
DISCADOR;364614;;;1;30/03/2023;;;
DISCADOR;364615;;;1;30/03/2023;;;
DISCADOR;364616;;;1;30/03/2023;;;
DISCADOR;364617;;;1;30/03/2023;;;
HEADSET;1193003;;;1;26/01/2023;;;
HEADSET;1193048;;;3;26/01/2023;05/07/2023;14/03/2024;
HEADSET;1193049;;;4;26/01/2023;05/07/2023;13/11/2023;28/12/2023
HEADSET;1193050;;;1;26/01/2023;;;
HEADSET;443646;;;2;26/01/2023;13/11/2023;;
HEADSET;887080;;;3;26/01/2023;15/09/2023;13/11/2023;
HEADSET;1193053;;;1;26/01/2023;;;
HEADSET;1193054;;;1;26/01/2023;;;
HEADSET;1193055;;;1;26/01/2023;;;
HEADSET;1193056;;;1;26/01/2023;;;
HEADSET;1193057;;;1;26/01/2023;;;
HEADSET;1193058;;;4;26/01/2023;22/08/2023;15/09/2023;05/10/2023
HEADSET;1193059;;;1;26/01/2023;;;
HEADSET;1193060;;;2;26/01/2023;05/07/2023;;
HEADSET;1193061;;;1;26/01/2023;;;
HEADSET;1193062;;;1;26/01/2023;;;
HEADSET;1193063;;;1;26/01/2023;;;
HEADSET;1193064;;;1;26/01/2023;;;
HEADSET;1193065;;;1;26/01/2023;;;
HEADSET;665867;;;2;26/01/2023;22/08/2023;;
DISCADOR;364603;;;1;26/01/2023;;;
DISCADOR;364604;;;1;26/01/2023;;;
DISCADOR;364605;;;1;26/01/2023;;;
DISCADOR;364641;;;2;26/01/2023;05/10/2023;;
DISCADOR;364642;;;1;26/01/2023;;;
HEADSET;364618;;;2;30/03/2023;15/09/2023;;
HEADSET;364619;;;2;30/03/2023;05/10/2023;;
HEADSET;364620;;;3;30/03/2023;01/06/2023;13/11/2023;
HEADSET;364621;;;2;30/03/2023;01/06/2023;;
HEADSET;364622;;;1;30/03/2023;;;
HEADSET;364623;;;1;30/03/2023;;;
HEADSET;364624;;;2;30/03/2023;05/07/2023;;
HEADSET;364625;;;2;30/03/2023;15/09/2023;;
HEADSET;364626;;;1;30/03/2023;;;
HEADSET;364627;;;2;30/03/2023;22/08/2023;;
HEADSET;364628;;;1;30/03/2023;;;
HEADSET;364629;;;4;30/03/2023;22/08/2023;15/09/2023;05/10/2023
HEADSET;364630;;;2;30/03/2023;14/03/2024;;
HEADSET;364643;;;3;30/03/2023;01/06/2023;22/08/2023;
HEADSET;364644;;;1;30/03/2023;;;
HEADSET;364645;;;1;30/03/2023;;;
HEADSET;364646;;;2;30/03/2023;01/06/2023;;
HEADSET;364647;;;1;30/03/2023;;;
HEADSET;364651;;;1;30/03/2023;;;
HEADSET;364652;;;1;30/03/2023;;;
HEADSET;364631;;;1;01/06/2023;;;
HEADSET;364632;;;1;01/06/2023;;;
HEADSET;364633;;;1;01/06/2023;;;
HEADSET;364634;;;1;01/06/2023;;;
HEADSET;364635;;;2;01/06/2023;13/11/2023;;
HEADSET;364636;;;1;01/06/2023;;;
HEADSET;364637;;;1;01/06/2023;;;
HEADSET;364638;;;2;01/06/2023;13/11/2023;;
HEADSET;364639;;;1;01/06/2023;;;
HEADSET;364640;;;1;01/06/2023;;;
HEADSET;364649;;;1;01/06/2023;;;
HEADSET;364653;;;1;26/01/2023;;;
HEADSET;364654;;;1;05/07/2023;;;
HEADSET;364655;;;1;05/07/2023;;;
HEADSET;364656;;;1;05/07/2023;;;
HEADSET;364660;;;1;05/07/2023;;;
HEADSET;364657;;;1;05/07/2023;;;
HEADSET;364659;;;1;05/07/2023;;;
HEADSET;364658;;;1;05/07/2023;;;
HEADSET;364670;;;1;05/07/2023;;;
HEADSET;364661;;;1;05/07/2023;;;
HEADSET;364669;;;1;05/07/2023;;;
HEADSET;364662;;;2;05/07/2023;15/09/2023;;
HEADSET;364663;;;1;05/07/2023;;;
HEADSET;364668;;;1;05/07/2023;;;
HEADSET;364667;;;1;05/07/2023;;;
HEADSET;364666;;;1;05/07/2023;;;
HEADSET;364665;;;1;05/07/2023;;;
HEADSET;364664;;;1;05/07/2023;;;
HEADSET;364680;;;2;05/07/2023;13/11/2023;;
CARRAPATOS;364691;;;1;05/07/2023;;;
CARRAPATOS;364699;;;1;05/07/2023;;;
CARRAPATOS;364692;;;1;05/07/2023;;;
CARRAPATOS;364698;;;1;05/07/2023;;;
CARRAPATOS;364697;;;1;05/07/2023;;;
CARRAPATOS;364695;;;1;05/07/2023;;;
CARRAPATOS;364693;;;1;05/07/2023;;;
CARRAPATOS;364694;;;1;05/07/2023;;;
CARRAPATOS;364672;;;1;05/07/2023;;;
CARRAPATOS;364671;;;1;05/07/2023;;;
DISCADOR;364682;;;1;05/07/2023;;;
DISCADOR;364700;;;1;05/07/2023;;;
DISCADOR;364684;;;1;05/07/2023;;;
DISCADOR;364685;;;1;05/07/2023;;;
DISCADOR;364681;;;1;05/07/2023;;;
DISCADOR;364689;;;1;05/07/2023;;;
DISCADOR;364688;;;1;05/07/2023;;;
DISCADOR;364690;;;1;05/07/2023;;;
DISCADOR;364683;;;1;05/07/2023;;;
DISCADOR;364674;;;1;01/06/2023;;;
DISCADOR;364687;;;1;01/06/2023;;;
DISCADOR;364673;;;1;01/06/2023;;;
HEADSET;364676;;;1;22/08/2023;;;
HEADSET;364677;;;1;22/08/2023;;;
HEADSET;364678;;;1;22/08/2023;;;
HEADSET;364679;;;1;22/08/2023;;;
HEADSET;776966;;;1;22/08/2023;;;
